"Governorate","Births_2016"
"Al Qahirah",241000
"Al Jizah",223000
"Ash Sharqiyah",187000
"Al Buhayrah",179000
"Al Minya",177000
"Ad Daqahliyah",156000
"Suhaj",153000
"Asyut",144000
"Al Qalyubiyah",134000
"Al Gharbiyah",125000
"Al Iskandariyah",180000
"Al Minufiyah",110000
"Kafr ash Shaykh",85000
"Qina",110000
"Bani Suwayf",95000
"Al Fayyum",1e+05
"Dumyat",55000
"Al Isma`iliyah",45000
"Luxor",45000
"Aswan",55000
"As Suways",25000
"Bur Sa`id",28000
"Shamal Sina'",28000
"Matruh",22000
"Al Bahr al Ahmar",18000
"Al Wadi at Jadid",8000
"Janub Sina'",3372
